poll_id,state,Poll,link,Date,poll_date,Sample,votes,candidate,full_name,party,versus,field,
10,Pennsylvania,Quinnipac,https://www.qu.edu/images/polling/ps/ps10082015_Snw94cr.pdf,3/30-4/4,3/30/2016,1737 RV,1,other,other,NA,RD.2,all,
10,Pennsylvania,Quinnipac,https://www.qu.edu/images/polling/ps/ps10082015_Snw94cr.pdf,3/30-4/4,3/30/2016,1737 RV,2,vote,no vote,NA,RD.2,all,
10,Pennsylvania,Quinnipac,https://www.qu.edu/images/polling/ps/ps10082015_Snw94cr.pdf,3/30-4/4,3/30/2016,1737 RV,13,not sure,not sure,NA,RD.2,all,
11,California Official,California Secretary of State,"https://ballotpedia.org/United_States_Senate_election_in_California,_2016",6/7/2016,6/7/2016,7 million,40.2,Harris,Kamala Harris,D,34.Official,all,
11,California Official,California Secretary of State,"https://ballotpedia.org/United_States_Senate_election_in_California,_2016",6/7/2016,6/7/2016,7 million,19,Sanchez,Loretta Sanchez,D,34.Official,all,
11,California Official,California Secretary of State,"https://ballotpedia.org/United_States_Senate_election_in_California,_2016",6/7/2016,6/7/2016,7 million,7.8,Sundheim,Duf Sundheim,R,34.Official,all,
11,California Official,California Secretary of State,"https://ballotpedia.org/United_States_Senate_election_in_California,_2016",6/7/2016,6/7/2016,7 million,4.7,Wyman,Phil Wyman,R,34.Official,all,
11,California Official,California Secretary of State,"https://ballotpedia.org/United_States_Senate_election_in_California,_2016",6/7/2016,6/7/2016,7 million,4.3,Del Beccaro,Tom Del Beccaro,R,34.Official,all,
11,California Official,California Secretary of State,"https://ballotpedia.org/United_States_Senate_election_in_California,_2016",6/7/2016,6/7/2016,7 million,3.1,Conlon,Greg Conlon,R,34.Official,all,
11,California Official,California Secretary of State,"https://ballotpedia.org/United_States_Senate_election_in_California,_2016",6/7/2016,6/7/2016,7 million,2.3,Stokes,Steve Stokes,D,34.Official,all,
11,California Official,California Secretary of State,"https://ballotpedia.org/United_States_Senate_election_in_California,_2016",6/7/2016,6/7/2016,7 million,1.5,Yang,George Yang,R,34.Official,all,
